dt,bend_repay_volume,nftfi_repay_volume,pine_repay_volume,arcade_repay_volume,jpegd_repay_volume,drops_repay_volume,x2y2_repay_volume,paraspace_repay_volume,total_repay_volume,cumu_repay_volume_bend,cumu_repay_volume_nftfi,cumu_repay_volume_pine,cumu_repay_volume_arcade,cumu_repay_volume_jpegd,cumu_repay_volume_drops,cumu_repay_volume_x2y2,cumu_repay_volume_paraspace
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
2020-06-29 00:00,0,677.543585104167,0,0,0,0,0,0,677.543585104167,0,1676.8255802083347,0,0,0,0,0,0
2020-06-23 00:00,0,494.08846666666767,0,0,0,0,0,0,494.08846666666767,0,999.2819951041677,0,0,0,0,0,0
2020-06-11 00:00,0,181.47182291666638,0,0,0,0,0,0,181.47182291666638,0,505.19352843749994,0,0,0,0,0,0
2020-06-09 00:00,0,182.74427083333345,0,0,0,0,0,0,182.74427083333345,0,323.72170552083355,0,0,0,0,0,0
2020-06-07 00:00,0,0,0,0,0,0,0,0,0,0,140.9774346875001,0,0,0,0,0,0
2020-06-03 00:00,0,4.7710187500000085,0,0,0,0,0,0,4.7710187500000085,0,140.9774346875001,0,0,0,0,0,0
2020-06-02 00:00,0,4.867472916666657,0,0,0,0,0,0,4.867472916666657,0,136.2064159375001,0,0,0,0,0,0
2020-05-26 00:00,0,6.08833854166668,0,0,0,0,0,0,6.08833854166668,0,131.33894302083345,0,0,0,0,0,0
2020-05-25 00:00,0,14.246288194444421,0,0,0,0,0,0,14.246288194444421,0,125.25060447916678,0,0,0,0,0,0
2020-05-23 00:00,0,18.720134375000047,0,0,0,0,0,0,18.720134375000047,0,111.00431628472236,0,0,0,0,0,0
2020-05-19 00:00,0,12.771602083333345,0,0,0,0,0,0,12.771602083333345,0,92.28418190972232,0,0,0,0,0,0
2020-05-16 00:00,0,79.51257982638897,0,0,0,0,0,0,79.51257982638897,0,79.51257982638897,0,0,0,0,0,0
2020-07-09 00:00,0,733.8048958333347,0,0,0,0,0,0,733.8048958333347,0,4195.230519444449,0,0,0,0,0,0
2020-07-07 00:00,0,418.2789843749998,0,0,0,0,0,0,418.2789843749998,0,3461.4256236111146,0,0,0,0,0,0
2020-07-04 00:00,0,114.02892361111165,0,0,0,0,0,0,114.02892361111165,0,3043.146639236115,0,0,0,0,0,0
2020-07-03 00:00,0,1252.2921354166683,0,0,0,0,0,0,1252.2921354166683,0,2929.1177156250033,0,0,0,0,0,0
